1	82	55	74	43	74	328	65.60
2	71	50	48	11	30	210	42.00
3	94	97	89	80	96	456	91.20
4	66	46	95	76	70	353	70.60
5	53	65	66	89	35	308	61.60
6	83	67	45	44	31	270	54.00
7	78	72	76	50	88	364	72.80
8	61	2	69	57	48	237	47.40
9	31	73	18	56	12	190	38.00
10	65	56	28	78	92	319	63.80
11	99	65	10	36	32	242	48.40
12	80	37	83	65	99	364	72.80
13	10	20	86	67	10	193	38.60
14	66	89	62	10	18	245	49.00
15	87	6	99	38	62	292	58.40
16	19	89	83	4	53	248	49.60
17	43	39	47	69	1	199	39.80
18	88	3	90	13	78	272	54.40
19	24	4	30	48	48	154	30.80
20	27	68	95	33	42	265	53.00
