1	9	44	33	69	40	195	39.00
2	33	27	79	34	66	239	47.80
3	16	44	34	31	10	135	27.00
4	95	62	52	14	2	225	45.00
5	74	30	66	10	53	233	46.60
6	24	13	19	100	63	219	43.80
7	97	20	15	3	96	231	46.20
8	99	59	34	57	84	333	66.60
9	90	38	71	73	82	354	70.80
10	72	92	82	33	7	286	57.20
11	92	90	79	76	13	350	70.00
12	74	62	4	55	81	276	55.20
13	58	55	21	58	53	245	49.00
14	68	22	86	14	89	279	55.80
15	55	54	42	95	54	300	60.00
16	5	20	35	32	34	126	25.20
17	98	72	96	34	18	318	63.60
18	13	62	65	27	86	253	50.60
19	64	67	37	31	100	299	59.80
20	2	39	13	80	59	193	38.60
